Identifier	Name	colname	Synonyms	Action	Clinical.Stage	Putative.Target	Targeted.process.pathway	PubChem_CID	PubChem_SMILES	filename	PubChem	remark
238	CAL-101	CAL-101		targeted	clinically approved	PI3Kdelta	PI3K signaling	11625818	CC[C@@H](C1=NC2=C(C(=CC=C2)F)C(=O)N1C3=CC=CC=C3)NC4=NC=NC5=C4NC=N5	CAL-101	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/11625818"" target= ""_blank"">PubChem</a>"	
193	GW-2580	GW-2580		targeted	experimental	CSF1R (cFMS)	RTK signaling	11617559	COC1=CC=C(C=C1)COC2=C(C=C(C=C2)CC3=CN=C(N=C3N)N)OC	GW-2580	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/11617559"" target= ""_blank"">PubChem</a>"	
205	BMS-708163	BMS-708163	Avagacestat	targeted	in clinical development	g-secretase	other	46883536	C1=CC(=CC=C1S(=O)(=O)N(CC2=C(C=C(C=C2)C3=NOC=N3)F)[C@H](CCC(F)(F)F)C(=O)N)Cl	BMS-708163	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/46883536"" target= ""_blank"">PubChem</a>"	
222	BX-912	BX-912	KIN001-175	targeted	experimental	PDPK1 (PDK1)	PI3K signaling	11754511	C1CCN(C1)C(=O)NC2=CC=CC(=C2)NC3=NC=C(C(=N3)NCCC4=CN=CN4)Br	BX-912		
229	LY317615	LY317615	Enzastaurin	targeted	in clinical development	PRKCB (PKCbeta)	other	176167	CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=CN(C5=CC=CC=C54)C6CCN(CC6)CC7=CC=CC=N7	LY317615	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/176167"" target= ""_blank"">PubChem</a>"	
252	WZ3105	WZ3105		targeted	experimental	"CLK2, CNSK1E, FLT3, ULK1"	other	NA	NA	WZ3105	NA	Compount not found
253	XMD14-99	XMD14-99		targeted	experimental	"EPHB3, CAMK1"	RTK signaling	NA	NA	XMD14-99	NA	Compount not found
255	CP724714	CP724714		targeted	in clinical development	ERBB2	EGFR signaling	9874913	CC1=NC=C(C=C1)OC2=C(C=C(C=C2)NC3=NC=NC4=C3C=C(C=C4)/C=C/CNC(=O)COC)C	CP724714	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/9874913"" target= ""_blank"">PubChem</a>"	
256	JW-7-24-1	JW-7-24-1		targeted	experimental	LCK	other	NA	NA	JW-7-24-1	NA	Compount not found
277	ABT-869	ABT-869	Linifanib	targeted	in clinical development	VEGFR and PDGFR family	RTK signaling	11485656	CC1=CC(=C(C=C1)F)NC(=O)NC2=CC=C(C=C2)C3=C4C(=CC=C3)NN=C4N	ABT-869	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/11485656"" target= ""_blank"">PubChem</a>"	
283	GSK2126458	GSK2126458	EX-8678	targeted	in clinical development	"PI3K, MTOR"	PI3K signaling	25167777	COC1=C(C=C(C=N1)C2=CC3=C(C=CN=C3C=C2)C4=CN=NC=C4)NS(=O)(=O)C5=C(C=C(C=C5)F)F	GSK2126458	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/25167777"" target= ""_blank"">PubChem</a>"	
301	PHA-793887	PHA-793887		targeted	experimental	CDK-pan	cell cycle	46191454	CC(C)CC(=O)NC1=NNC2=C1CN(C2(C)C)C(=O)C3CCN(CC3)C	PHA-793887	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/46191454"" target= ""_blank"">PubChem</a>"	
306	TG101348	TG101348		targeted	in clinical development	JAK2	other	16722836	CC1=CN=C(N=C1NC2=CC(=CC=C2)S(=O)(=O)NC(C)(C)C)NC3=CC=C(C=C3)OCCN4CCCC4	TG101348	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/16722836"" target= ""_blank"">PubChem</a>"	
329	QL-XI-92	QL-XI-92		targeted	experimental	DDR1	RTK signaling	NA	NA	QL-XI-92	NA	Compount not found
332	XMD15-27	XMD15-27		targeted	experimental	"CAMK2B, CLK2, DYRK1A, MAST1, STK39"	other	NA	NA	XMD15-27	NA	Compount not found
235	QL-XII-47	QL-XII-47		targeted	experimental	"BTK, BMX"	other	118346216	CN1C=C(C=N1)C2=CC3=C4C(=CN=C3C=C2)C=CC(=O)N4C5=CC6=C(CCN6CC=CCN(C)CC#C)C=C5	QL-XII-47	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/118346216"" target= ""_blank"">PubChem</a>"	Updated
254	AC220	AC220	Quizartinib	targeted	in clinical development	FLT3	RTK signaling	24889392	CC(C)(C)C1=CC(=NO1)NC(=O)NC2=CC=C(C=C2)C3=CN4C5=C(C=C(C=C5)OCCN6CCOCC6)SC4=N3	AC220	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/24889392"" target= ""_blank"">PubChem</a>"	
282	EKB-569	EKB-569	Pelitinib	targeted	in clinical development	EGFR	EGFR signaling	6445562	CCOC1=C(C=C2C(=C1)N=CC(=C2NC3=CC(=C(C=C3)F)Cl)C#N)NC(=O)/C=C/CN(C)C	EKB-569	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/6445562"" target= ""_blank"">PubChem</a>"	
292	Masitinib	Masitinib	AB1010	targeted	clinically approved	KIT	RTK signaling	10074640	CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC(=CS4)C5=CN=CC=C5	Masitinib	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/10074640"" target= ""_blank"">PubChem</a>"	
298	OSI-930	OSI-930		targeted	in clinical development	"KIT, VEGFR, PDGFR"	RTK signaling	114845	O=S 	OSI-930	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/114845"" target= ""_blank"">PubChem</a>"	
330	XMD13-2	XMD13-2		targeted	experimental	RIPK	other	NA	NA	XMD13-2	NA	Compount not found
1378	Bleomycin (50 uM)	Bleomycin_(50_uM)		cytotoxic	clinically approved	DNA damage	DNA replication	5460769	CC1=C(N=C(N=C1N)[C@H](CC(=O)N)NC[C@@H](C(=O)N)N)C(=O)N[C@@H]([C@H](C2=CN=CN2)O[C@H]3[C@H]([C@H]([C@@H]([C@@H](O3)CO)O)O)O[C@@H]4[C@H]([C@H]([C@@H]([C@H](O4)CO)O)OC(=O)N)O)C(=O)N[C@H](C)[C@H]([C@H](C)C(=O)N[C@@H]([C@@H](C)O)C(=O)NCCC5=NC(=CS5)C6=NC(=CS6)C(=O)NCCC[S+](C)C)O	Bleomycin_(50_uM)	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/5460769"" target= ""_blank"">PubChem</a>"	Compount not found
219	AT-7519	AT-7519		targeted	in clinical development	CDK9	cell cycle	11338033	C1CNCCC1NC(=O)C2=C(C=NN2)NC(=O)C3=C(C=CC=C3Cl)Cl	AT-7519	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/11338033"" target= ""_blank"">PubChem</a>"	
249	XL-184	XL-184	"Cometriq, Cabozantinib"	targeted	clinically approved	"VEGFR, MET, RET, KIT, FLT1, FLT3, FLT4, Tie2,AXL"	RTK signaling	25102847	COC1=CC2=C(C=CN=C2C=C1OC)OC3=CC=C(C=C3)NC(=O)C4(CC4)C(=O)NC5=CC=C(C=C5)F	XL-184	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/25102847"" target= ""_blank"">PubChem</a>"	
257	NPK76-II-72-1	NPK76-II-72-1		targeted	experimental	PLK3	mitosis	NA	NA	NPK76-II-72-1	NA	Compount not found
260	NG-25	NG-25		targeted	experimental	MAP3K7 (TAK1)	other	53340664	CCN1CCN(CC1)CC2=C(C=C(C=C2)NC(=O)C3=CC(=C(C=C3)C)OC4=C5C=CNC5=NC=C4)C(F)(F)F	NG-25	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/53340664"" target= ""_blank"">PubChem</a>"	
261	TL-1-85	TL-1-85		targeted	experimental	MAP3K7 (TAK1)	other	NA	NA	TL-1-85	NA	Compount not found
262	VX-11e	VX-11e		targeted	experimental	ERK	ERK MAPK signaling	11634725	CC1=CN=C(N=C1C2=CNC(=C2)C(=O)N[C@H](CO)C3=CC(=CC=C3)Cl)NC4=C(C=C(C=C4)F)Cl	VX-11e	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/11634725"" target= ""_blank"">PubChem</a>"	
263	FR-180204	FR-180204		targeted	experimental	ERK	ERK MAPK signaling	11493598	C1=CC=C(C=C1)C2=NN3C=CC=CC3=C2C4=CC5=C(NN=C5N=N4)N	FR-180204	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/11493598"" target= ""_blank"">PubChem</a>"	
266	Zibotentan	"Zibotentan,_ZD4054"	ZD4054	targeted	in clinical development	Endothelin A Receptor	other	9910224	CC1=CN=C(C(=N1)OC)NS(=O)(=O)C2=C(N=CC=C2)C3=CC=C(C=C3)C4=NN=CO4	"Zibotentan,_ZD4054"	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/9910224"" target= ""_blank"">PubChem</a>"	
279	BIX02189	BIX02189		targeted	experimental	MAP2K5 (MEK5)	other	135659062	CN(C)CC1=CC(=CC=C1)N=C(C2=CC=CC=C2)C3=C(NC4=C3C=CC(=C4)C(=O)N(C)C)O	BIX02189	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/135659062"" target= ""_blank"">PubChem</a>"	Updated
286	KIN001-236	KIN001-236		targeted	experimental	TIE2	other	157400995	[N-]=[N+]=[N-].[K+].[I-] 	KIN001-236	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/157400995"" target= ""_blank"">PubChem</a>"	Updated
288	KIN001-055	KIN001-055	"WHI-P97, AC1L1GQE"	targeted	experimental	"JAK3, MNK1"	other	157400995	[N-]=[N+]=[N-].[K+].[I-]	KIN001-055	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/157400995  "" target= ""_blank"">PubChem</a>Updated"	
291	KIN001-266	KIN001-266		targeted	experimental	MAP3K8 (COT)	other	157400995	[N-]=[N+]=[N-].[K+].[I-]	KIN001-266	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/157400995"" target= ""_blank"">PubChem</a>"	Updated
295	NVP-BHG712	NVP-BHG712		targeted	experimental	EPHB4	RTK signaling	16747388	CC1=C(C=C(C=C1)C(=O)NC2=CC=CC(=C2)C(F)(F)F)NC3=C4C=NN(C4=NC(=N3)C5=CN=CC=C5)C	NVP-BHG712	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/16747388"" target= ""_blank"">PubChem</a>"	Updated
303	PIK-93	PIK-93		targeted	experimental	"PI4K, PI3K"	PI3K signaling	140656136	[P-2]I 	PIK-93	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/140656136 "" target= ""_blank"">PubChem</a>"	Updated
305	TPCA-1	TPCA-1		targeted	experimental	IKK	other	9903786	C1=CC(=CC=C1C2=CC(=C(S2)NC(=O)N)C(=O)N)F	TPCA-1	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/9903786"" target= ""_blank"">PubChem</a>"	
309	Y-39983	Y-39983		targeted	experimental	ROCK	cytoskeleton	9810884	C[C@H](C1=CC=C(C=C1)C(=O)NC2=C3C=CNC3=NC=C2)N	Y-39983	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/9810884"" target= ""_blank"">PubChem</a>"	
310	YM201636	YM201636		targeted	experimental	FYV1	other	9956222	C1COCCN1C2=NC(=NC3=C2OC4=C3C=CC=N4)C5=CC(=CC=C5)NC(=O)C6=CN=C(C=C6)N	YM201636	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/9956222"" target= ""_blank"">PubChem</a>"	
312	AV-951	AV-951	Tivozanib	targeted	in clinical development	VEGFR	RTK signaling	9911830	CC1=CC(=NO1)NC(=O)NC2=C(C=C(C=C2)OC3=C4C=C(C(=CC4=NC=C3)OC)OC)Cl	AV-951	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/9911830"" target= ""_blank"">PubChem</a>"	
326	GSK690693	GSK690693		targeted	experimental	AKT	PI3K signaling	16725726	CCN1C2=C(C(=NC=C2OC[C@H]3CCCNC3)C#CC(C)(C)O)N=C1C4=NON=C4N	GSK690693	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/16725726"" target= ""_blank"">PubChem</a>"	
345	KIN001-270	KIN001-270		targeted	experimental	CDK9	cell cycle	157400995	[N-]=[N+]=[N-].[K+].[I-]	KIN001-270	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/157400995"" target= ""_blank"">PubChem</a>"	
281	CH5424802	CH5424802		targeted	in clinical development	ALK	RTK signaling	49806720	CCC1=CC2=C(C=C1N3CCC(CC3)N4CCOCC4)C(C5=C(C2=O)C6=C(N5)C=C(C=C6)C#N)(C)C	CH5424802	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/49806720"" target= ""_blank"">PubChem</a>"	
287	KIN001-244	KIN001-244		targeted	experimental	PDPK1 (PDK1)	PI3K signaling	157400995	[N-]=[N+]=[N-].[K+].[I-]	KIN001-244	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/157400995"" target= ""_blank"">PubChem</a>"	Updated
290	KIN001-260	KIN001-260	Bayer IKKb inhibitor	targeted	experimental	IKK	other	157400995	[N-]=[N+]=[N-].[K+].[I-]	KIN001-260	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/157400995"" target= ""_blank"">PubChem</a>"	Updated
304	SB52334	SB52334		targeted	experimental	ALK5	RTK signaling	97489	C1=CC=C(C=C1)C2=C(C=CC=N2)C(=O)O	SB52334	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/97489"" target= ""_blank"">PubChem</a>"	Updated
224	AS605240	AS605240	KIN001-173	targeted	experimental	PI3Kgamma	PI3K signaling	5289247	C1=CC2=NC=CN=C2C=C1/C=C\3/C(=O)NC(=O)S3	AS605240	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/5289247"" target= ""_blank"">PubChem</a>"	Updated
258	STF-62247	STF-62247		not defined	experimental	stimulates autophagy	other	704473	CC1=CC(=CC=C1)NC2=NC(=CS2)C3=CC=NC=C3	STF-62247	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/704473"" target= ""_blank"">PubChem</a>"	
275	I-BET-762	I-BET	GSK525762A	targeted	experimental	"BRD2, BRD3, BRD4"	chromatin  other	46943432	CCNC(=O)C[C@H]1C2=NN=C(N2C3=C(C=C(C=C3)OC)C(=N1)C4=CC=C(C=C4)Cl)C	I-BET	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/46943432"" target= ""_blank"">PubChem</a>"	
294	MPS-1-IN-1	MPS-1-IN-1		targeted	experimental	MPS1	mitosis	25195352	CC(C)S(=O)(=O)C1=CC=CC=C1NC2=CC(=NC3=C2C=CN3)NC4=C(C=C(C=C4)N5CCC(CC5)O)OC	MPS-1-IN-1	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/25195352"" target= ""_blank"">PubChem</a>"	Compount not found
300	CX-5461	CX-5461		targeted	experimental	RNA Pol I	other	25257557	CC1=CN=C(C=N1)CNC(=O)C2=C3N(C4=CC=CC=C4S3)C5=C(C2=O)C=CC(=N5)N6CCCN(CC6)C	CX-5461	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/25257557"" target= ""_blank"">PubChem</a>"	
265	Tubastatin A	Tubastatin_A		targeted	experimental	HDAC6	chromain  histone acetylation	49850262	CN1CCC2=C(C1)C3=CC=CC=C3N2CC4=CC=C(C=C4)C(=O)NO	Tubastatin_A	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/49850262 "" target= ""_blank"">PubChem</a>"	Updated
271	VNLG/124	VNLG/124		targeted	experimental	"HDAC, RAR "	chromain  histone acetylation	24894414	CCCC(=O)OCC1=CC=C(C=C1)OC(=O)/C=C(\\C)/C=C/C=C(\\C)/C=C/C2=C(CCCC2(C)C)C	VNLG_124	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/24894414"" target= ""_blank"">PubChem</a>"	Compount not found
308	XL-880	XL-880	"Foretinib, GSK1363089"	targeted	in clinical development	MET	RTK signaling	42642645	COC1=CC2=C(C=CN=C2C=C1OCCCN3CCOCC3)OC4=C(C=C(C=C4)NC(=O)C5(CC5)C(=O)NC6=CC=C(C=C6)F)F	XL-880	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/42642645"" target= ""_blank"">PubChem</a>"	
341	EX-527	EX-527		targeted	experimental	SIRT1	other	5113032	C1CC(C2=C(C1)C3=C(N2)C=CC(=C3)Cl)C(=O)N	EX-527	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/5113032"" target= ""_blank"">PubChem</a>"	
344	THZ-2-49	THZ-2-49		targeted	experimental	CDK9	cell cycle	NA	NA	THZ-2-49	NA	Compount not found
1219	PFI-1	PFI-1		targeted	experimental	"BRD2, BRD3, BRD4"	chromatin  other	71271629	CN1CC2=C(C=CC(=C2)NS(=O)(=O)C3=CC=CC=C3OC)NC1=O	PFI-1	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/71271629"" target= ""_blank"">PubChem</a>"	Compount not found.Nothing in the best search
245	UNC0638	UNC0638		targeted	experimental	"G9a(EHMT2), GLP(EHMT1)"	chromatin  histone methylation	46224516	CC(C)N1CCC(CC1)NC2=NC(=NC3=CC(=C(C=C32)OC)OCCCN4CCCC4)C5CCCCC5	UNC0638	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/46224516"" target= ""_blank"">PubChem</a>"	Compound not found
245	UNC0638	UNC0638		targeted	experimental	"G9a(EHMT2), GLP(EHMT1)"	chromatin  histone methylation	46224516	CC(C)N1CCC(CC1)NC2=NC(=NC3=CC(=C(C=C32)OC)OCCCN4CCCC4)C5CCCCC5	UNC0638	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/46224516"" target= ""_blank"">PubChem</a>"	Compound not found
299	OSI-027	OSI-027	A-1065	targeted	in clinical development	MTORC1/2	TOR signaling	44224160	COC1=CC=CC2=C/C(=C/3\C4=C(N=CNN4C(=N3)C5CCC(CC5)C(=O)O)N)/N=C21	OSI-027	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/44224160"" target= ""_blank"">PubChem</a>"	Compound not found. Nothing in the best match
1494	SN-38	SN-38	7-ethyl-10-hydroxy-camptothecin	cytotoxic	experimental	TOP1	DNA replication	104842	CCC1=C2CN3C(=CC4=C(C3=O)COC(=O)[C@@]4(CC)O)C2=NC5=C1C=C(C=C5)O	SN-38	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/104842"" target= ""_blank"">PubChem</a>"	Compound not found. Nothing in the best match
293	MP470	MP470		targeted	in clinical development	PDGFR	RTK signaling	11282283	C1CN(CCN1C2=NC=NC3=C2OC4=CC=CC=C43)C(=S)NCC5=CC6=C(C=C5)OCO6	MP470	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/11282283"" target= ""_blank"">PubChem</a>"	
333	T0901317	T0901317		targeted	experimental	LXR	other	447912	C1=CC=C(C=C1)S(=O)(=O)N(CC(F)(F)F)C2=CC=C(C=C2)C(C(F)(F)F)(C(F)(F)F)O	T0901317	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/447912"" target= ""_blank"">PubChem</a>"	
1230	IOX2	IOX2		targeted	experimental	EGLN1	other	54685215	C1=CC=C(C=C1)CN2C3=CC=CC=C3C(=C(C2=O)C(=O)NCC(=O)O)O	IOX2	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/54685215"" target= ""_blank"">PubChem</a>"	
179	5-Fluorouracil	5-Fluorouracil	5-FU	cytotoxic	clinically approved	DNA antimetabolite	DNA replication	3385	C1=C(C(=O)NC(=O)N1)F	5-Fluorouracil	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/3385"" target= ""_blank"">PubChem</a>"	
269	NSC-207895	NSC-207895	XI-006	targeted	experimental	MDM4	p53 pathway	42640	CN1CCN(CC1)C2=CC=C(C3=NO[N+](=C23)[O-])[N+](=O)[O-]	NSC-207895	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/42640"" target= ""_blank"">PubChem</a>"	
276	CAY10603	CAY10603		targeted	experimental	HDAC6	chromain  histone acetylation	24951314	CC(C)(C)OC(=O)NC1=CC=C(C=C1)C2=CC(=NO2)C(=O)NCCCCCCC(=O)NO	CAY10603	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/24951314"" target= ""_blank"">PubChem</a>"	
127	GSK269962A	GSK269962A	KIN001-155	targeted	experimental	"ROCK1, ROCK2"	cytoskeleton	16095342	CCN1C2=CC(=NC=C2N=C1C3=NON=C3N)OC4=CC=CC(=C4)NC(=O)C5=CC=C(C=C5)OCCN6CCOCC6	GSK269962A	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/16095342"" target= ""_blank"">PubChem</a>"	
1194	SB-505124	SB-505124		targeted	experimental	TGFR1 (ALK5)	other	9858940	CC1=NC(=CC=C1)C2=C(N=C(N2)C(C)(C)C)C3=CC4=C(C=C3)OCO4	SB-505124	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/9858940"" target= ""_blank"">PubChem</a>"	
1199	Tamoxifen	Tamoxifen		targeted	clinically approved	ER	other	2733526	CC/C(=C(\C1=CC=CC=C1)/C2=CC=C(C=C2)OCCN(C)C)/C3=CC=CC=C3	Tamoxifen	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/2733526"" target= ""_blank"">PubChem</a>"	
1243	piperlongumine	piperlongumine		not defined	experimental	Increases ROS levels	other	637858	COC1=CC(=CC(=C1OC)OC)/C=C/C(=O)N2CCC=CC2=O	piperlongumine	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/637858"" target= ""_blank"">PubChem</a>"	
302	PI-103	PI-103		targeted	experimental	"PI3Ka, PRKDC (DNAPK)"	PI3K signaling	9884685	C1COCCN1C2=NC(=NC3=C2OC4=C3C=CC=N4)C5=CC(=CC=C5)O	PI-103	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/9884685"" target= ""_blank"">PubChem</a>"	Compound not found. Nothing in the best match
196	Phenformin	Phenformin		targeted	experimental	AAPK1 (AMPK) agonist	metabolism	8249	C1=CC=C(C=C1)CCN=C(N)N=C(N)N	Phenformin	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/8249"" target= ""_blank"">PubChem</a>"	
328	SNX-2112	SNX-2112		targeted	experimental	HSP90	other	24772860	CC1(CC2=C(C(=O)C1)C(=NN2C3=CC(=C(C=C3)C(=O)N)NC4CCC(CC4)O)C(F)(F)F)C	SNX-2112	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/24772860"" target= ""_blank"">PubChem</a>"	
205	BMS-708163	BMS-708163	Avagacestat	targeted	in clinical development	g-secretase	other	46883536	C1=CC(=CC=C1S(=O)(=O)N(CC2=C(C=C(C=C2)C3=NOC=N3)F)[C@H](CCC(F)(F)F)C(=O)N)Cl	BMS-708163	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/46883536"" target= ""_blank"">PubChem</a>"	
62	BMS-536924	BMS-536924	KIN001-126	targeted	experimental	IGF1R	IGFR signaling	135440466	CC1=CC(=CC2=C1N=C(N2)C3=C(C=CNC3=O)NC[C@H](C4=CC(=CC=C4)Cl)O)N5CCOCC5	BMS-536924	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/135440466 "" target= ""_blank"">PubChem</a>"	
272	AR-42	AR-42	HDAC-42	targeted	in clinical development	HDAC	chromain  histone acetylation	6918848	CC(C)[C@@H](C1=CC=CC=C1)C(=O)NC2=CC=C(C=C2)C(=O)NO	AR-42	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/6918848"" target= ""_blank"">PubChem</a>"	
1069	EHT 1864	EHT_1864		targeted	experimental	Rac GTPases	cytoskeleton	9938202	C1COCCN1CC2=CC(=O)C(=CO2)OCCCCCSC3=C4C=CC(=CC4=NC=C3)C(F)(F)F.Cl.Cl	EHT_1864	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/9938202"" target= ""_blank"">PubChem</a>"	
331	QL-X-138	QL-X-138		targeted	experimental	"MNK2, PRKDC (DNAPK), MTOR, BTK, JAK3"	other	73707530	CC1=C(C=C(C=C1)N2C(=O)C=CC3=CN=C4C=CC(=CC4=C32)C5=CNN=C5)NC(=O)C=C	QL-X-138	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/73707530"" target= ""_blank"">PubChem</a>"	
